year,area_code,area,identity,pay_type,pay,confidence
2009,00AG,Camden,Female,Hourly,15.91,7.4
2010,00AG,Camden,Female,Hourly,15.62,4.3
2011,00AG,Camden,Female,Hourly,16.22,5.1
2012,00AG,Camden,Female,Hourly,15.63,6
2013,00AG,Camden,Female,Hourly,15.63,7
2014,00AG,Camden,Female,Hourly,16.78,6.6
2015,00AG,Camden,Female,Hourly,16.42,7.2
2016,00AG,Camden,Female,Hourly,16.44,7.7
2017,00AG,Camden,Female,Hourly,16.37,6.3
2018,00AG,Camden,Female,Hourly,16.8,6.7
2019,00AG,Camden,Female,Hourly,18.06,7.4
2002,00AH,Croydon,Female,Hourly,9.2,6
2003,00AH,Croydon,Female,Hourly,9.68,5
2004,00AH,Croydon,Female,Hourly,9.95,5.5
2005,00AH,Croydon,Female,Hourly,10.59,5.6
2006,00AH,Croydon,Female,Hourly,10.54,5.1
2007,00AH,Croydon,Female,Hourly,11.31,5.1
2008,00AH,Croydon,Female,Hourly,11.74,6.5
2009,00AH,Croydon,Female,Hourly,11.9,5.1
2010,00AH,Croydon,Female,Hourly,12.69,4.4
2011,00AH,Croydon,Female,Hourly,12.02,3.9
2012,00AH,Croydon,Female,Hourly,12.59,4.4
2013,00AH,Croydon,Female,Hourly,12.62,4.1
2014,00AH,Croydon,Female,Hourly,13.31,4
2015,00AH,Croydon,Female,Hourly,13.02,4.3
2016,00AH,Croydon,Female,Hourly,13.5,4.4
2017,00AH,Croydon,Female,Hourly,13.75,5.6
2018,00AH,Croydon,Female,Hourly,13.82,4.6
2019,00AH,Croydon,Female,Hourly,14.64,4.6
2002,00AJ,Ealing,Female,Hourly,11,6.2
2003,00AJ,Ealing,Female,Hourly,11.2,5.5
2004,00AJ,Ealing,Female,Hourly,11.4,6.2
2005,00AJ,Ealing,Female,Hourly,11,5.9
2006,00AJ,Ealing,Female,Hourly,11.7,5.3
2007,00AJ,Ealing,Female,Hourly,11.7,4.3
2008,00AJ,Ealing,Female,Hourly,12.79,4.2
2009,00AJ,Ealing,Female,Hourly,12.9,4.9
2010,00AJ,Ealing,Female,Hourly,12.82,4.1
2011,00AJ,Ealing,Female,Hourly,12.83,5.3
2012,00AJ,Ealing,Female,Hourly,13.49,4.7
2013,00AJ,Ealing,Female,Hourly,13.14,4.7
2014,00AJ,Ealing,Female,Hourly,13.43,4.8
2015,00AJ,Ealing,Female,Hourly,12.75,7
2016,00AJ,Ealing,Female,Hourly,13,5.3
2017,00AJ,Ealing,Female,Hourly,12.93,6.2
2018,00AJ,Ealing,Female,Hourly,13.45,6.2
2019,00AJ,Ealing,Female,Hourly,13.15,4.8
2002,00AK,Enfield,Female,Hourly,9.1,6.4
2003,00AK,Enfield,Female,Hourly,9.8,5.3
2004,00AK,Enfield,Female,Hourly,10.1,5.7
2005,00AK,Enfield,Female,Hourly,10.4,5.3
2006,00AK,Enfield,Female,Hourly,10.9,7.7
2007,00AK,Enfield,Female,Hourly,12,5.7
2008,00AK,Enfield,Female,Hourly,11.45,6.2
2009,00AK,Enfield,Female,Hourly,11.81,4.9
2010,00AK,Enfield,Female,Hourly,12.26,6
2011,00AK,Enfield,Female,Hourly,12.57,5.4
2012,00AK,Enfield,Female,Hourly,12.96,6.3
