year,area_code,area,sports_participation,percentage,population
2008-2009,00AH,Croydon,three+,0.142,38500
2009-2010,00AH,Croydon,three+,0.135,36700
2010-2011,00AH,Croydon,three+,0.147,40200
2011-2012,00AH,Croydon,three+,0.196,56000
2012-2013,00AH,Croydon,three+,0.174,50100
2013-2014,00AH,Croydon,three+,0.124,36000
2014-2015,00AH,Croydon,three+,0.176,51600
2015-2016,00AH,Croydon,three+,0.094,27800
2005-2006,00AJ,Ealing,three+,0.168,41100
2007-2008,00AJ,Ealing,three+,0.187,46400
2008-2009,00AJ,Ealing,three+,0.177,44300
2009-2010,00AJ,Ealing,three+,0.159,40800
2010-2011,00AJ,Ealing,three+,0.129,33200
2011-2012,00AJ,Ealing,three+,0.165,44600
2012-2013,00AJ,Ealing,three+,0.208,56300
2013-2014,00AJ,Ealing,three+,0.202,54500
2014-2015,00AJ,Ealing,three+,0.154,41400
2015-2016,00AJ,Ealing,three+,0.194,52100
2005-2006,00AK,Enfield,three+,0.168,37300
2007-2008,00AK,Enfield,three+,0.128,28700
2008-2009,00AK,Enfield,three+,0.153,34500
2009-2010,00AK,Enfield,three+,0.136,31100
2010-2011,00AK,Enfield,three+,0.111,25600
2011-2012,00AK,Enfield,three+,0.152,37100
2012-2013,00AK,Enfield,three+,0.146,35800
2013-2014,00AK,Enfield,three+,0.156,38500
2014-2015,00AK,Enfield,three+,0.161,40300
2015-2016,00AK,Enfield,three+,0.132,33300
2005-2006,00AL,Greenwich,three+,0.165,30000
2007-2008,00AL,Greenwich,three+,0.167,29400
2008-2009,00AL,Greenwich,three+,0.229,40300
2009-2010,00AL,Greenwich,three+,0.168,29900
2010-2011,00AL,Greenwich,three+,0.132,23700
2011-2012,00AL,Greenwich,three+,0.154,30800
2012-2013,00AL,Greenwich,three+,0.151,30800
2013-2014,00AL,Greenwich,three+,0.159,32600
2014-2015,00AL,Greenwich,three+,0.154,32200
2015-2016,00AL,Greenwich,three+,0.176,37600
2005-2006,00AM,Hackney,three+,0.152,24500
2007-2008,00AM,Hackney,three+,0.158,25800
2008-2009,00AM,Hackney,three+,0.171,28400
2009-2010,00AM,Hackney,three+,0.185,31400
2010-2011,00AM,Hackney,three+,0.18,30800
2011-2012,00AM,Hackney,three+,0.207,40700
2012-2013,00AM,Hackney,three+,0.179,35700
2013-2014,00AM,Hackney,three+,0.194,39400
2014-2015,00AM,Hackney,three+,0.179,37300
2015-2016,00AM,Hackney,three+,0.181,38400
2005-2006,00AN,Hammersmith And Fulham,three+,0.209,31700
2007-2008,00AN,Hammersmith And Fulham,three+,0.209,30200
2008-2009,00AN,Hammersmith And Fulham,three+,0.247,35500
2009-2010,00AN,Hammersmith And Fulham,three+,0.239,33700
2010-2011,00AN,Hammersmith And Fulham,three+,0.199,27900
2011-2012,00AN,Hammersmith And Fulham,three+,0.197,30100
2012-2013,00AN,Hammersmith And Fulham,three+,0.273,40900
2013-2014,00AN,Hammersmith And Fulham,three+,0.254,37500
2014-2015,00AN,Hammersmith And Fulham,three+,0.24,35300
2015-2016,00AN,Hammersmith And Fulham,three+,0.204,30200
2005-2006,00AP,Haringey,three+,0.177,32000
2007-2008,00AP,Haringey,three+,0.169,30600
2008-2009,00AP,Haringey,three+,0.177,32300
2009-2010,00AP,Haringey,three+,0.179,32500
2010-2011,00AP,Haringey,three+,0.181,32700
2011-2012,00AP,Haringey,three+,0.176,35900
2012-2013,00AP,Haringey,three+,0.18,37000
2013-2014,00AP,Haringey,three+,0.195,40900
2014-2015,00AP,Haringey,three+,0.228,48700
2015-2016,00AP,Haringey,three+,0.23,50100
2005-2006,00AQ,Harrow,three+,0.141,24200
2007-2008,00AQ,Harrow,three+,0.124,21300
2008-2009,00AQ,Harrow,three+,0.145,25100
2009-2010,00AQ,Harrow,three+,0.176,32400
2010-2011,00AQ,Harrow,three+,0.174,32300
2011-2012,00AQ,Harrow,three+,0.158,30400
2012-2013,00AQ,Harrow,three+,0.144,27900
2013-2014,00AQ,Harrow,three+,0.147,28500
2014-2015,00AQ,Harrow,three+,0.171,33500
2015-2016,00AQ,Harrow,three+,0.168,32800
2005-2006,00AR,Havering,three+,0.15,27400
2007-2008,00AR,Havering,three+,0.142,26200
2008-2009,00AR,Havering,three+,0.169,31600
2009-2010,00AR,Havering,three+,0.157,29900
2010-2011,00AR,Havering,three+,0.157,30100
2011-2012,00AR,Havering,three+,0.168,32500
2012-2013,00AR,Havering,three+,0.175,34100
2013-2014,00AR,Havering,three+,0.158,30900
2014-2015,00AR,Havering,three+,0.167,33200
2015-2016,00AR,Havering,three+,0.152,30400
2005-2006,00AS,Hillingdon,three+,0.16,32200
2007-2008,00AS,Hillingdon,three+,0.18,35900
2008-2009,00AS,Hillingdon,three+,0.168,33900
2009-2010,00AS,Hillingdon,three+,0.148,31000
2010-2011,00AS,Hillingdon,three+,0.108,22900
2011-2012,00AS,Hillingdon,three+,0.157,34400
2012-2013,00AS,Hillingdon,three+,0.213,47300
2013-2014,00AS,Hillingdon,three+,0.171,38500
2014-2015,00AS,Hillingdon,three+,0.134,30800
2015-2016,00AS,Hillingdon,three+,0.124,28900
2005-2006,00AT,Hounslow,three+,0.164,28100
2007-2008,00AT,Hounslow,three+,0.149,26500
2008-2009,00AT,Hounslow,three+,0.179,31900
2009-2010,00AT,Hounslow,three+,0.152,28700
2010-2011,00AT,Hounslow,three+,0.188,35800
2011-2012,00AT,Hounslow,three+,0.204,41600
2012-2013,00AT,Hounslow,three+,0.164,33600
2013-2014,00AT,Hounslow,three+,0.203,42000
2014-2015,00AT,Hounslow,three+,0.202,42300
2015-2016,00AT,Hounslow,three+,0.17,36000
2005-2006,00AU,Islington,three+,0.161,24600
2007-2008,00AU,Islington,three+,0.197,31000
2008-2009,00AU,Islington,three+,0.201,32200
2009-2010,00AU,Islington,three+,0.214,34500
2010-2011,00AU,Islington,three+,0.173,28200
2011-2012,00AU,Islington,three+,0.207,36000
2012-2013,00AU,Islington,three+,0.235,41700
2013-2014,00AU,Islington,three+,0.196,35400
2014-2015,00AU,Islington,three+,0.221,40900
2015-2016,00AU,Islington,three+,0.193,36900
2005-2006,00AW,Kensington And Chelsea,three+,0.218,36600
2007-2008,00AW,Kensington And Chelsea,three+,0.243,36600
2008-2009,00AW,Kensington And Chelsea,three+,0.207,31500
2009-2010,00AW,Kensington And Chelsea,three+,0.257,36700
2010-2011,00AW,Kensington And Chelsea,three+,0.204,29000
2011-2012,00AW,Kensington And Chelsea,three+,0.285,38200
2012-2013,00AW,Kensington And Chelsea,three+,0.252,33100
2013-2014,00AW,Kensington And Chelsea,three+,0.2,26000
2014-2015,00AW,Kensington And Chelsea,three+,0.251,32800
2015-2016,00AW,Kensington And Chelsea,three+,0.29,38200
2005-2006,00AX,Kingston Upon Thames,three+,0.184,23100
2007-2008,00AX,Kingston Upon Thames,three+,0.161,20800
2008-2009,00AX,Kingston Upon Thames,three+,0.232,30400
2009-2010,00AX,Kingston Upon Thames,three+,0.212,29000
2010-2011,00AX,Kingston Upon Thames,three+,0.212,29300
2011-2012,00AX,Kingston Upon Thames,three+,0.206,26800
2012-2013,00AX,Kingston Upon Thames,three+,0.195,25800
2013-2014,00AX,Kingston Upon Thames,three+,0.21,28200
2014-2015,00AX,Kingston Upon Thames,three+,0.181,24700
2015-2016,00AX,Kingston Upon Thames,three+,0.229,31900
2005-2006,00AY,Lambeth,three+,0.18,39700
2007-2008,00AY,Lambeth,three+,0.212,47500
2008-2009,00AY,Lambeth,three+,0.189,42800
2009-2010,00AY,Lambeth,three+,0.153,35800
2010-2011,00AY,Lambeth,three+,0.233,54700
2011-2012,00AY,Lambeth,three+,0.203,50800
2012-2013,00AY,Lambeth,three+,0.231,58700
2013-2014,00AY,Lambeth,three+,0.248,63800
2014-2015,00AY,Lambeth,three+,0.216,56500
2015-2016,00AY,Lambeth,three+,0.214,57100
2005-2006,00AZ,Lewisham,three+,0.165,32700
2007-2008,00AZ,Lewisham,three+,0.153,31700
2008-2009,00AZ,Lewisham,three+,0.161,33800
2009-2010,00AZ,Lewisham,three+,0.148,31300
2010-2011,00AZ,Lewisham,three+,0.155,32900
2011-2012,00AZ,Lewisham,three+,0.182,40000
2012-2013,00AZ,Lewisham,three+,0.144,32000
2013-2014,00AZ,Lewisham,three+,0.131,29500
2014-2015,00AZ,Lewisham,three+,0.159,36600
2015-2016,00AZ,Lewisham,three+,0.183,43100
2005-2006,00BA,Merton,three+,0.172,27400
2007-2008,00BA,Merton,three+,0.184,30000
2008-2009,00BA,Merton,three+,0.197,32400
2009-2010,00BA,Merton,three+,0.215,36200
2010-2011,00BA,Merton,three+,0.141,23900
2011-2012,00BA,Merton,three+,0.161,26000
2012-2013,00BA,Merton,three+,0.226,36600
2013-2014,00BA,Merton,three+,0.186,30200
2014-2015,00BA,Merton,three+,0.241,39000
2015-2016,00BA,Merton,three+,0.213,34500
2005-2006,00BB,Newham,three+,0.125,23400
2007-2008,00BB,Newham,three+,0.13,24700
2008-2009,00BB,Newham,three+,0.129,24500
2009-2010,00BB,Newham,three+,0.134,24300
2010-2011,00BB,Newham,three+,0.125,22400
2011-2012,00BB,Newham,three+,0.149,35800
2012-2013,00BB,Newham,three+,0.169,41000
2013-2014,00BB,Newham,three+,0.152,37100
2014-2015,00BB,Newham,three+,0.14,34900
2015-2016,00BB,Newham,three+,0.163,41700
2005-2006,00BC,Redbridge,three+,0.166,33100
2007-2008,00BC,Redbridge,three+,0.18,35900
2008-2009,00BC,Redbridge,three+,0.164,33100
2009-2010,00BC,Redbridge,three+,0.156,32800
2010-2011,00BC,Redbridge,three+,0.166,35000
2011-2012,00BC,Redbridge,three+,0.175,38300
2012-2013,00BC,Redbridge,three+,0.168,36900
2013-2014,00BC,Redbridge,three+,0.198,44000
2014-2015,00BC,Redbridge,three+,0.181,40900
2015-2016,00BC,Redbridge,three+,0.145,33100
2005-2006,00BD,Richmond Upon Thames,three+,0.216,32900
2007-2008,00BD,Richmond Upon Thames,three+,0.222,32100
2008-2009,00BD,Richmond Upon Thames,three+,0.22,31700
2009-2010,00BD,Richmond Upon Thames,three+,0.221,33700
2010-2011,00BD,Richmond Upon Thames,three+,0.251,38400
2011-2012,00BD,Richmond Upon Thames,three+,0.244,36700
2012-2013,00BD,Richmond Upon Thames,three+,0.266,40100
2013-2014,00BD,Richmond Upon Thames,three+,0.225,34100
2014-2015,00BD,Richmond Upon Thames,three+,0.25,38300
2015-2016,00BD,Richmond Upon Thames,three+,0.22,33800
2005-2006,00BE,Southwark,three+,0.133,27700
2007-2008,00BE,Southwark,three+,0.167,37500
2008-2009,00BE,Southwark,three+,0.196,44800
2009-2010,00BE,Southwark,three+,0.167,39400
2010-2011,00BE,Southwark,three+,0.179,42200
2011-2012,00BE,Southwark,three+,0.193,45500
2012-2013,00BE,Southwark,three+,0.191,45600
2013-2014,00BE,Southwark,three+,0.166,40300
2014-2015,00BE,Southwark,three+,0.156,38300
2015-2016,00BE,Southwark,three+,0.167,41900
2005-2006,00BF,Sutton,three+,0.151,21400
2007-2008,00BF,Sutton,three+,0.15,22400
2008-2009,00BF,Sutton,three+,0.174,26100
2009-2010,00BF,Sutton,three+,0.164,25200
2010-2011,00BF,Sutton,three+,0.198,30700
2011-2012,00BF,Sutton,three+,0.154,23600
2012-2013,00BF,Sutton,three+,0.191,29600
2013-2014,00BF,Sutton,three+,0.148,23000
2014-2015,00BF,Sutton,three+,0.181,28500
2015-2016,00BF,Sutton,three+,0.172,27300
2005-2006,00BG,Tower Hamlets,three+,0.169,28600
2007-2008,00BG,Tower Hamlets,three+,0.156,26700
2008-2009,00BG,Tower Hamlets,three+,0.144,25400
2009-2010,00BG,Tower Hamlets,three+,0.184,34900
2010-2011,00BG,Tower Hamlets,three+,0.162,30800
2011-2012,00BG,Tower Hamlets,three+,0.167,34400
2012-2013,00BG,Tower Hamlets,three+,0.185,38800
2013-2014,00BG,Tower Hamlets,three+,0.2,43400
2014-2015,00BG,Tower Hamlets,three+,0.174,39400
2015-2016,00BG,Tower Hamlets,three+,0.239,56200
2005-2006,00BH,Waltham Forest,three+,0.144,25600
2007-2008,00BH,Waltham Forest,three+,0.162,28300
2008-2009,00BH,Waltham Forest,three+,0.177,31000
2009-2010,00BH,Waltham Forest,three+,0.166,29200
2010-2011,00BH,Waltham Forest,three+,0.173,30500
2011-2012,00BH,Waltham Forest,three+,0.176,36100
2012-2013,00BH,Waltham Forest,three+,0.171,35200
2013-2014,00BH,Waltham Forest,three+,0.155,32100
2014-2015,00BH,Waltham Forest,three+,0.145,30400
2015-2016,00BH,Waltham Forest,three+,0.14,29500
2005-2006,00BJ,Wandsworth,three+,0.208,49500
2007-2008,00BJ,Wandsworth,three+,0.252,60000
2008-2009,00BJ,Wandsworth,three+,0.204,48800
2009-2010,00BJ,Wandsworth,three+,0.236,56800
2010-2011,00BJ,Wandsworth,three+,0.213,51300
2011-2012,00BJ,Wandsworth,three+,0.239,61300
2012-2013,00BJ,Wandsworth,three+,0.233,59600
2013-2014,00BJ,Wandsworth,three+,0.213,54400
2014-2015,00BJ,Wandsworth,three+,0.282,72400
2015-2016,00BJ,Wandsworth,three+,0.213,54900
2005-2006,00BK,Westminster,three+,0.195,41600
2007-2008,00BK,Westminster,three+,0.166,33800
2008-2009,00BK,Westminster,three+,0.217,44500
2009-2010,00BK,Westminster,three+,0.23,50100
2010-2011,00BK,Westminster,three+,0.196,43100
2011-2012,00BK,Westminster,three+,0.237,44300
2012-2013,00BK,Westminster,three+,0.234,44300
2013-2014,00BK,Westminster,three+,0.218,41400
2014-2015,00BK,Westminster,three+,0.224,43900
2015-2016,00BK,Westminster,three+,0.149,30200
2005-2006,A,North East,zero,0.574,1195300
2007-2008,A,North East,zero,0.547,1148200
2008-2009,A,North East,zero,0.546,1155300
2009-2010,A,North East,zero,0.54,1148400
2010-2011,A,North East,zero,0.545,1171400
2011-2012,A,North East,zero,0.522,1115300
2012-2013,A,North East,zero,0.546,1168300
2013-2014,A,North East,zero,0.558,1201100
2014-2015,A,North East,zero,0.573,1236600
2015-2016,A,North East,zero,0.581,1257600
2005-2006,B,North West,zero,0.56,3079500
2007-2008,B,North West,zero,0.526,2920500
2008-2009,B,North West,zero,0.532,2967700
2009-2010,B,North West,zero,0.532,2980600
2010-2011,B,North West,zero,0.527,2970500
2011-2012,B,North West,zero,0.522,2994000
2012-2013,B,North West,zero,0.532,3061700
2013-2014,B,North West,zero,0.536,3096800
2014-2015,B,North West,zero,0.547,3170300
2015-2016,B,North West,zero,0.551,3211400
2005-2006,D,Yorkshire And The Humber,zero,0.561,2285200
2007-2008,D,Yorkshire And The Humber,zero,0.527,2216200
2008-2009,D,Yorkshire And The Humber,zero,0.545,2313100
2009-2010,D,Yorkshire And The Humber,zero,0.529,2270000
2010-2011,D,Yorkshire And The Humber,zero,0.53,2296100
2011-2012,D,Yorkshire And The Humber,zero,0.528,2265300
2012-2013,D,Yorkshire And The Humber,zero,0.526,2269400
2013-2014,D,Yorkshire And The Humber,zero,0.543,2356700
2014-2015,D,Yorkshire And The Humber,zero,0.559,2434300
2015-2016,D,Yorkshire And The Humber,zero,0.556,2436500
2005-2006,E,East Midlands,zero,0.552,1922600
2007-2008,E,East Midlands,zero,0.521,1868700
2008-2009,E,East Midlands,zero,0.528,1908900
2009-2010,E,East Midlands,zero,0.536,1948700
2010-2011,E,East Midlands,zero,0.531,1947200
2011-2012,E,East Midlands,zero,0.522,1932000
2012-2013,E,East Midlands,zero,0.539,2008500
2013-2014,E,East Midlands,zero,0.539,2024200
2014-2015,E,East Midlands,zero,0.554,2098000
2015-2016,E,East Midlands,zero,0.55,2103700
2005-2006,F,West Midlands,zero,0.573,2458100
2007-2008,F,West Midlands,zero,0.541,2341700
2008-2009,F,West Midlands,zero,0.554,2414300
2009-2010,F,West Midlands,zero,0.555,2432000
2010-2011,F,West Midlands,zero,0.538,2368900
2011-2012,F,West Midlands,zero,0.541,2442700
2012-2013,F,West Midlands,zero,0.555,2521800
2013-2014,F,West Midlands,zero,0.556,2543000
2014-2015,F,West Midlands,zero,0.563,2592900
2015-2016,F,West Midlands,zero,0.565,2620400
2005-2006,G,East,zero,0.53,2365400
2007-2008,G,East,zero,0.501,2293700
2008-2009,G,East,zero,0.518,2404900
2009-2010,G,East,zero,0.522,2440000
2010-2011,G,East,zero,0.506,2393000
2011-2012,G,East,zero,0.507,2411300
2012-2013,G,East,zero,0.517,2476800
2013-2014,G,East,zero,0.522,2524500
2014-2015,G,East,zero,0.541,2639100
2015-2016,G,East,zero,0.523,2577600
2005-2006,H,London,zero,0.53,3214200
2007-2008,H,London,zero,0.498,3037500
2008-2009,H,London,zero,0.502,3083200
2009-2010,H,London,zero,0.507,3168500
2010-2011,H,London,zero,0.501,3153800
2011-2012,H,London,zero,0.495,3256800
2012-2013,H,London,zero,0.491,3264400
2013-2014,H,London,zero,0.501,3371800
2014-2015,H,London,zero,0.516,3514900
2015-2016,H,London,zero,0.507,3509200
2005-2006,J,South East,zero,0.512,3364600
2007-2008,J,South East,zero,0.479,3218800
2008-2009,J,South East,zero,0.5,3393100
2009-2010,J,South East,zero,0.506,3459100
2010-2011,J,South East,zero,0.495,3424300
2011-2012,J,South East,zero,0.489,3426900
2012-2013,J,South East,zero,0.5,3529800
2013-2014,J,South East,zero,0.504,3591400
2014-2015,J,South East,zero,0.507,3649400
2015-2016,J,South East,zero,0.503,3653000
2005-2006,K,South West,zero,0.54,2232900
2007-2008,K,South West,zero,0.508,2163800
2008-2009,K,South West,zero,0.513,2199600
2009-2010,K,South West,zero,0.522,2248200
2010-2011,K,South West,zero,0.497,2160200
2011-2012,K,South West,zero,0.5,2186100
2012-2013,K,South West,zero,0.512,2257200
2013-2014,K,South West,zero,0.516,2292500
2014-2015,K,South West,zero,0.524,2347700
2015-2016,K,South West,zero,0.527,2384300
2005-2006,941,England,zero,0.543,22117900
2007-2008,941,England,zero,0.512,21209000
2008-2009,941,England,zero,0.523,21840000
2009-2010,941,England,zero,0.525,22095500
2010-2011,941,England,zero,0.515,21885300
2011-2012,941,England,zero,0.511,22030400
2012-2013,941,England,zero,0.52,22557800
2013-2014,941,England,zero,0.526,23001900
2014-2015,941,England,zero,0.538,23683100
2015-2016,941,England,zero,0.534,23753700
2005-2006,00AA,City Of London,zero,0.479,4000
2007-2008,00AA,City Of London,zero,,
2008-2009,00AA,City Of London,zero,0.435,3100
2009-2010,00AA,City Of London,zero,0.456,4900
2010-2011,00AA,City Of London,zero,0.594,6400
2011-2012,00AA,City Of London,zero,0.485,3300
2012-2013,00AA,City Of London,zero,0.42,2900
2013-2014,00AA,City Of London,zero,0.392,2700
2014-2015,00AA,City Of London,zero,0.535,3900
2015-2016,00AA,City Of London,zero,0.619,4800
2005-2006,00AB,Barking And Dagenham,zero,0.615,77100
2007-2008,00AB,Barking And Dagenham,zero,0.634,80200
2008-2009,00AB,Barking And Dagenham,zero,0.583,74300
2009-2010,00AB,Barking And Dagenham,zero,0.609,80500
2010-2011,00AB,Barking And Dagenham,zero,0.611,82500
2011-2012,00AB,Barking And Dagenham,zero,0.579,80200
2012-2013,00AB,Barking And Dagenham,zero,0.608,85200
2013-2014,00AB,Barking And Dagenham,zero,0.657,93400
2014-2015,00AB,Barking And Dagenham,zero,0.636,92200
2015-2016,00AB,Barking And Dagenham,zero,0.67,98800
2005-2006,00AC,Barnet,zero,0.527,139000
2007-2008,00AC,Barnet,zero,0.441,115700
2008-2009,00AC,Barnet,zero,0.516,135900
2009-2010,00AC,Barnet,zero,0.501,137100
2010-2011,00AC,Barnet,zero,0.492,136400
2011-2012,00AC,Barnet,zero,0.486,137500
2012-2013,00AC,Barnet,zero,0.494,142000
2013-2014,00AC,Barnet,zero,0.45,131500
2014-2015,00AC,Barnet,zero,0.556,164700
2015-2016,00AC,Barnet,zero,0.493,147900
2005-2006,00AD,Bexley,zero,0.554,97000
2007-2008,00AD,Bexley,zero,0.56,99400
2008-2009,00AD,Bexley,zero,0.513,91400
2009-2010,00AD,Bexley,zero,0.574,103600
2010-2011,00AD,Bexley,zero,0.51,92900
2011-2012,00AD,Bexley,zero,0.525,97200
2012-2013,00AD,Bexley,zero,0.518,96600
2013-2014,00AD,Bexley,zero,0.582,109700
2014-2015,00AD,Bexley,zero,0.579,110400
2015-2016,00AD,Bexley,zero,0.542,104500
2005-2006,00AE,Brent,zero,0.599,131300
2007-2008,00AE,Brent,zero,0.541,118500
2008-2009,00AE,Brent,zero,0.536,117600
2009-2010,00AE,Brent,zero,0.539,110000
2010-2011,00AE,Brent,zero,0.612,124600
2011-2012,00AE,Brent,zero,0.557,138900
2012-2013,00AE,Brent,zero,0.554,138800
2013-2014,00AE,Brent,zero,0.53,134000
2014-2015,00AE,Brent,zero,0.606,154200
2015-2016,00AE,Brent,zero,0.572,146800
2005-2006,00AF,Bromley,zero,0.521,126100
2007-2008,00AF,Bromley,zero,0.505,121800
2008-2009,00AF,Bromley,zero,0.456,110700
2009-2010,00AF,Bromley,zero,0.488,121600
2010-2011,00AF,Bromley,zero,0.477,119900
2011-2012,00AF,Bromley,zero,0.483,120600
2012-2013,00AF,Bromley,zero,0.455,114600
2013-2014,00AF,Bromley,zero,0.52,133100
2014-2015,00AF,Bromley,zero,0.455,117400
2015-2016,00AF,Bromley,zero,0.474,123600
2005-2006,00AG,Camden,zero,0.461,87600
2007-2008,00AG,Camden,zero,0.435,85300
2008-2009,00AG,Camden,zero,0.443,88500
2009-2010,00AG,Camden,zero,0.47,91900
2010-2011,00AG,Camden,zero,0.434,86600
2011-2012,00AG,Camden,zero,0.448,82700
2012-2013,00AG,Camden,zero,0.41,77100
2013-2014,00AG,Camden,zero,0.394,75400
2014-2015,00AG,Camden,zero,0.444,86600
2015-2016,00AG,Camden,zero,0.357,71400
2005-2006,00AH,Croydon,zero,0.554,150400
2007-2008,00AH,Croydon,zero,0.52,140000
2008-2009,00AH,Croydon,zero,0.542,146800
2009-2010,00AH,Croydon,zero,0.537,145800
2010-2011,00AH,Croydon,zero,0.51,139200
2011-2012,00AH,Croydon,zero,0.543,154900
2012-2013,00AH,Croydon,zero,0.515,148600
2013-2014,00AH,Croydon,zero,0.517,150900
2014-2015,00AH,Croydon,zero,0.531,156000
2015-2016,00AH,Croydon,zero,0.5,148100
2005-2006,00AJ,Ealing,zero,0.508,123900
2007-2008,00AJ,Ealing,zero,0.515,127400
2008-2009,00AJ,Ealing,zero,0.532,133000
2009-2010,00AJ,Ealing,zero,0.537,137600
2010-2011,00AJ,Ealing,zero,0.562,144400
2011-2012,00AJ,Ealing,zero,0.507,136800
2012-2013,00AJ,Ealing,zero,0.498,134800
2013-2014,00AJ,Ealing,zero,0.47,127700
2014-2015,00AJ,Ealing,zero,0.522,140800
2015-2016,00AJ,Ealing,zero,0.514,138900
2005-2006,00AK,Enfield,zero,0.569,126000
2007-2008,00AK,Enfield,zero,0.537,120600
2008-2009,00AK,Enfield,zero,0.536,121000
2009-2010,00AK,Enfield,zero,0.554,126400
2010-2011,00AK,Enfield,zero,0.542,124900
2011-2012,00AK,Enfield,zero,0.509,124000
2012-2013,00AK,Enfield,zero,0.558,137100
2013-2014,00AK,Enfield,zero,0.536,133400
2014-2015,00AK,Enfield,zero,0.552,138800
2015-2016,00AK,Enfield,zero,0.6,152500
2005-2006,00AL,Greenwich,zero,0.572,103800
2007-2008,00AL,Greenwich,zero,0.528,93200
2008-2009,00AL,Greenwich,zero,0.517,91000
2009-2010,00AL,Greenwich,zero,0.544,96900
2010-2011,00AL,Greenwich,zero,0.532,95400
2011-2012,00AL,Greenwich,zero,0.519,103600
2012-2013,00AL,Greenwich,zero,0.522,106200
2013-2014,00AL,Greenwich,zero,0.537,111000
2014-2015,00AL,Greenwich,zero,0.568,119300
2015-2016,00AL,Greenwich,zero,0.493,106000
2005-2006,00AM,Hackney,zero,0.552,88900
2007-2008,00AM,Hackney,zero,0.528,86300
2008-2009,00AM,Hackney,zero,0.539,89400
2009-2010,00AM,Hackney,zero,0.519,87800
2010-2011,00AM,Hackney,zero,0.456,78100
2011-2012,00AM,Hackney,zero,0.496,97200
2012-2013,00AM,Hackney,zero,0.482,96300
2013-2014,00AM,Hackney,zero,0.528,107800
2014-2015,00AM,Hackney,zero,0.493,103000
2015-2016,00AM,Hackney,zero,0.502,107400
2005-2006,00AN,Hammersmith And Fulham,zero,0.451,68200
2007-2008,00AN,Hammersmith And Fulham,zero,0.471,68100
2008-2009,00AN,Hammersmith And Fulham,zero,0.394,56700
2009-2010,00AN,Hammersmith And Fulham,zero,0.442,62300
2010-2011,00AN,Hammersmith And Fulham,zero,0.451,63400
2011-2012,00AN,Hammersmith And Fulham,zero,0.434,66200
2012-2013,00AN,Hammersmith And Fulham,zero,0.442,66300
2013-2014,00AN,Hammersmith And Fulham,zero,0.386,57400
2014-2015,00AN,Hammersmith And Fulham,zero,0.483,71200
2015-2016,00AN,Hammersmith And Fulham,zero,0.438,65100
2005-2006,00AP,Haringey,zero,0.531,95800
2007-2008,00AP,Haringey,zero,0.499,90300
2008-2009,00AP,Haringey,zero,0.532,96800
2009-2010,00AP,Haringey,zero,0.51,92400
2010-2011,00AP,Haringey,zero,0.484,87200
2011-2012,00AP,Haringey,zero,0.509,103600
2012-2013,00AP,Haringey,zero,0.486,100500
2013-2014,00AP,Haringey,zero,0.46,97100
2014-2015,00AP,Haringey,zero,0.489,104800
2015-2016,00AP,Haringey,zero,0.453,99200
2005-2006,00AQ,Harrow,zero,0.564,97000
2007-2008,00AQ,Harrow,zero,0.555,95700
2008-2009,00AQ,Harrow,zero,0.533,92600
2009-2010,00AQ,Harrow,zero,0.535,98600
2010-2011,00AQ,Harrow,zero,0.505,93600
2011-2012,00AQ,Harrow,zero,0.508,97500
2012-2013,00AQ,Harrow,zero,0.51,98800
2013-2014,00AQ,Harrow,zero,0.582,113200
2014-2015,00AQ,Harrow,zero,0.538,105500
2015-2016,00AQ,Harrow,zero,0.573,112900
2005-2006,00AR,Havering,zero,0.566,103200
2007-2008,00AR,Havering,zero,0.539,99700
2008-2009,00AR,Havering,zero,0.543,101200
2009-2010,00AR,Havering,zero,0.543,103200
2010-2011,00AR,Havering,zero,0.553,105900
2011-2012,00AR,Havering,zero,0.561,108500
2012-2013,00AR,Havering,zero,0.559,108800
2013-2014,00AR,Havering,zero,0.555,109200
2014-2015,00AR,Havering,zero,0.538,107000
2015-2016,00AR,Havering,zero,0.543,109400
2005-2006,00AS,Hillingdon,zero,0.539,108400
2007-2008,00AS,Hillingdon,zero,0.505,100800
2008-2009,00AS,Hillingdon,zero,0.477,96000
2009-2010,00AS,Hillingdon,zero,0.541,113000
2010-2011,00AS,Hillingdon,zero,0.586,124000
2011-2012,00AS,Hillingdon,zero,0.523,114100
2012-2013,00AS,Hillingdon,zero,0.489,109000
2013-2014,00AS,Hillingdon,zero,0.561,127100
2014-2015,00AS,Hillingdon,zero,0.616,142300
2015-2016,00AS,Hillingdon,zero,0.58,136100
2005-2006,00AT,Hounslow,zero,0.552,94000
2007-2008,00AT,Hounslow,zero,0.498,88400
2008-2009,00AT,Hounslow,zero,0.528,94300
2009-2010,00AT,Hounslow,zero,0.559,105500
2010-2011,00AT,Hounslow,zero,0.535,101700
2011-2012,00AT,Hounslow,zero,0.486,98700
2012-2013,00AT,Hounslow,zero,0.526,108200
2013-2014,00AT,Hounslow,zero,0.448,93400
2014-2015,00AT,Hounslow,zero,0.541,113700
2015-2016,00AT,Hounslow,zero,0.542,115200
2005-2006,00AU,Islington,zero,0.526,79900
2007-2008,00AU,Islington,zero,0.483,76100
2008-2009,00AU,Islington,zero,0.443,71000
2009-2010,00AU,Islington,zero,0.471,76000
2010-2011,00AU,Islington,zero,0.462,75300
2011-2012,00AU,Islington,zero,0.442,76700
