year,area_code,area,gender,economically_active,working_age,percent,confidence
Jan 2011-Dec 2011,00AC,Barnet,M,97400,114200,85.3,4.5
Jan 2012-Dec 2012,00AC,Barnet,M,92400,115900,79.7,5.2
Jan 2013-Dec 2013,00AC,Barnet,M,98400,117700,83.6,4.8
Jan 2014-Dec 2014,00AC,Barnet,M,98500,120000,82.1,4.7
Jan 2015-Dec 2015,00AC,Barnet,M,99900,120100,83.2,4.8
Jan 2016-Dec 2016,00AC,Barnet,M,100400,124300,80.7,5
Jan 2017-Dec 2017,00AC,Barnet,M,104000,127100,81.8,4.8
Jan 2018-Dec 2018,00AC,Barnet,M,101600,126900,80.1,5.3
Jan 2019-Dec 2019,00AC,Barnet,M,106600,129200,82.5,5.5
Jan 2005-Dec 2005,00AD,Bexley,M,59000,68400,86.2,4.4
Jan 2006-Dec 2006,00AD,Bexley,M,58900,68900,85.5,4.2
Jan 2007-Dec 2007,00AD,Bexley,M,57600,69400,83,4.4
Jan 2008-Dec 2008,00AD,Bexley,M,58300,70000,83.4,4.7
Jan 2009-Dec 2009,00AD,Bexley,M,58000,70400,82.3,5
Jan 2010-Dec 2010,00AD,Bexley,M,59000,71200,82.9,4.5
Jan 2011-Dec 2011,00AD,Bexley,M,58300,71600,81.5,4.9
Jan 2012-Dec 2012,00AD,Bexley,M,60800,71400,85.2,4.8
Jan 2013-Dec 2013,00AD,Bexley,M,62000,72000,86.1,4.8
Jan 2014-Dec 2014,00AD,Bexley,M,63200,72900,86.7,4.5
Jan 2015-Dec 2015,00AD,Bexley,M,65200,73700,88.4,4.2
Jan 2016-Dec 2016,00AD,Bexley,M,65900,74400,88.7,4.2
Jan 2017-Dec 2017,00AD,Bexley,M,62800,75100,83.7,4.6
Jan 2018-Dec 2018,00AD,Bexley,M,64000,76000,84.2,4.7
Jan 2019-Dec 2019,00AD,Bexley,M,63100,76600,82.4,5
Jan 2005-Dec 2005,00AE,Brent,M,77000,92800,83,4.5
Jan 2006-Dec 2006,00AE,Brent,M,77200,94800,81.4,5.3
Jan 2007-Dec 2007,00AE,Brent,M,82200,97600,84.3,4.8
Jan 2008-Dec 2008,00AE,Brent,M,85300,100800,84.5,4.1
Jan 2009-Dec 2009,00AE,Brent,M,86500,103400,83.6,5
Jan 2010-Dec 2010,00AE,Brent,M,83000,106200,78.2,5.6
Jan 2011-Dec 2011,00AE,Brent,M,83000,109400,75.9,6
Jan 2012-Dec 2012,00AE,Brent,M,88700,109700,80.9,4.6
Jan 2013-Dec 2013,00AE,Brent,M,93100,110500,84.3,3.9
Jan 2014-Dec 2014,00AE,Brent,M,89800,111300,80.7,4.1
Jan 2015-Dec 2015,00AE,Brent,M,94300,113600,83,4
Jan 2016-Dec 2016,00AE,Brent,M,98100,115500,85,4
Jan 2017-Dec 2017,00AE,Brent,M,97100,116700,83.2,4.3
Jan 2018-Dec 2018,00AE,Brent,M,96500,113800,84.8,4.6
Jan 2019-Dec 2019,00AE,Brent,M,98100,114400,85.8,6
Jan 2005-Dec 2005,00AF,Bromley,M,80700,92000,87.7,3.9
Jan 2006-Dec 2006,00AF,Bromley,M,82900,93200,88.9,3.9
Jan 2007-Dec 2007,00AF,Bromley,M,84700,93400,90.7,3.5
Jan 2008-Dec 2008,00AF,Bromley,M,82000,94100,87.2,4.2
Jan 2009-Dec 2009,00AF,Bromley,M,84400,94400,89.4,4.5
Jan 2010-Dec 2010,00AF,Bromley,M,79100,94700,83.5,5.3
Jan 2011-Dec 2011,00AF,Bromley,M,79200,95100,83.3,4.7
Jan 2012-Dec 2012,00AF,Bromley,M,81100,95300,85.1,4.3
Jan 2013-Dec 2013,00AF,Bromley,M,82400,96500,85.5,4
Jan 2014-Dec 2014,00AF,Bromley,M,82000,96800,84.7,4
Jan 2015-Dec 2015,00AF,Bromley,M,84900,97700,86.9,4
Jan 2016-Dec 2016,00AF,Bromley,M,87400,98800,88.5,4
Jan 2017-Dec 2017,00AF,Bromley,M,89700,99800,89.8,4
Jan 2018-Dec 2018,00AF,Bromley,M,88500,99900,88.6,4.3
Jan 2019-Dec 2019,00AF,Bromley,M,88800,100800,88.1,4.1
Jan 2005-Dec 2005,00AG,Camden,M,57600,74600,77.3,5.3
Jan 2006-Dec 2006,00AG,Camden,M,60300,74600,80.8,4.5
Jan 2007-Dec 2007,00AG,Camden,M,58600,74800,78.4,4.4
Jan 2008-Dec 2008,00AG,Camden,M,59800,74300,80.5,4.1
Jan 2009-Dec 2009,00AG,Camden,M,58300,75400,77.3,4.9
Jan 2010-Dec 2010,00AG,Camden,M,61200,75900,80.7,4.8
Jan 2011-Dec 2011,00AG,Camden,M,59700,78500,76,5.4
Jan 2012-Dec 2012,00AG,Camden,M,65100,79700,81.6,4.7
Jan 2013-Dec 2013,00AG,Camden,M,62200,81700,76.1,5
Jan 2014-Dec 2014,00AG,Camden,M,66400,83300,79.6,4.6
Jan 2015-Dec 2015,00AG,Camden,M,64900,86600,74.9,5.3
Jan 2016-Dec 2016,00AG,Camden,M,69100,89300,77.3,5.2
Jan 2017-Dec 2017,00AG,Camden,M,70300,91300,77,5.5
Jan 2018-Dec 2018,00AG,Camden,M,77100,93700,82.3,5.2
Jan 2019-Dec 2019,00AG,Camden,M,75400,96600,78,6
Jan 2005-Dec 2005,00AH,Croydon,M,91900,108700,84.5,4
Jan 2006-Dec 2006,00AH,Croydon,M,92700,109500,84.7,4.1
Jan 2007-Dec 2007,00AH,Croydon,M,93700,110600,84.8,4.4
Jan 2008-Dec 2008,00AH,Croydon,M,94600,112200,84.3,4.8
Jan 2009-Dec 2009,00AH,Croydon,M,94900,113200,83.8,4.8
Jan 2010-Dec 2010,00AH,Croydon,M,99500,114600,86.8,4.5
Jan 2011-Dec 2011,00AH,Croydon,M,95700,116400,82.3,4.8
Jan 2012-Dec 2012,00AH,Croydon,M,99300,116700,85.1,4.7
Jan 2013-Dec 2013,00AH,Croydon,M,98800,117300,84.2,4.4
Jan 2014-Dec 2014,00AH,Croydon,M,104400,118200,88.3,4.1
Jan 2015-Dec 2015,00AH,Croydon,M,101900,118700,85.9,4.3
Jan 2016-Dec 2016,00AH,Croydon,M,108900,121200,89.9,3.7
Jan 2017-Dec 2017,00AH,Croydon,M,104500,122200,85.5,4.2
Jan 2018-Dec 2018,00AH,Croydon,M,99400,120800,82.3,4.9
Jan 2019-Dec 2019,00AH,Croydon,M,101700,121400,83.8,4.8
Jan 2005-Dec 2005,00AJ,Ealing,M,89500,108900,82.1,4.2
Jan 2006-Dec 2006,00AJ,Ealing,M,91400,109600,83.4,4
Jan 2007-Dec 2007,00AJ,Ealing,M,90800,110600,82.1,4.4
Jan 2008-Dec 2008,00AJ,Ealing,M,92600,112100,82.6,4.7
Jan 2009-Dec 2009,00AJ,Ealing,M,95000,114100,83.3,4.4
Jan 2010-Dec 2010,00AJ,Ealing,M,94000,114800,81.9,4.8
Jan 2011-Dec 2011,00AJ,Ealing,M,97500,116900,83.4,4.8
Jan 2012-Dec 2012,00AJ,Ealing,M,98900,116500,84.9,4.2
Jan 2013-Dec 2013,00AJ,Ealing,M,98500,116300,84.7,4.5
Jan 2014-Dec 2014,00AJ,Ealing,M,97700,115300,84.8,4.5
Jan 2015-Dec 2015,00AJ,Ealing,M,99700,115100,86.6,4
Jan 2016-Dec 2016,00AJ,Ealing,M,99100,117800,84.1,4.5
Jan 2017-Dec 2017,00AJ,Ealing,M,101400,118700,85.4,4.9
Jan 2018-Dec 2018,00AJ,Ealing,M,97600,114600,85.1,5.8
Jan 2019-Dec 2019,00AJ,Ealing,M,99400,113500,87.6,5.3
Jan 2005-Dec 2005,00AK,Enfield,M,76800,90700,84.7,4.7
Jan 2006-Dec 2006,00AK,Enfield,M,76300,90800,84,4.6
Jan 2007-Dec 2007,00AK,Enfield,M,74100,92000,80.6,4.9
Jan 2008-Dec 2008,00AK,Enfield,M,79600,93800,84.9,4.1
Jan 2009-Dec 2009,00AK,Enfield,M,73700,94500,78,4.5
Jan 2010-Dec 2010,00AK,Enfield,M,75800,96100,78.9,4.5
Jan 2011-Dec 2011,00AK,Enfield,M,80400,97900,82.1,4.6
Jan 2012-Dec 2012,00AK,Enfield,M,80100,98800,81,5
Jan 2013-Dec 2013,00AK,Enfield,M,81900,100000,82,4.7
Jan 2014-Dec 2014,00AK,Enfield,M,82300,101000,81.5,5.1
Jan 2015-Dec 2015,00AK,Enfield,M,85000,102200,83.1,4.8
Jan 2016-Dec 2016,00AK,Enfield,M,84800,104600,81.1,5.3
Jan 2017-Dec 2017,00AK,Enfield,M,83500,106200,78.6,5.5
Jan 2018-Dec 2018,00AK,Enfield,M,86600,106000,81.7,5.2
Jan 2019-Dec 2019,00AK,Enfield,M,81600,107100,76.2,6.7
Jan 2005-Dec 2005,00AL,Greenwich,M,63900,76000,84.2,4.2
Jan 2006-Dec 2006,00AL,Greenwich,M,61200,77400,79,4.8
Jan 2007-Dec 2007,00AL,Greenwich,M,66700,78500,84.9,4.2
Jan 2008-Dec 2008,00AL,Greenwich,M,64500,79800,80.8,5
Jan 2009-Dec 2009,00AL,Greenwich,M,67600,81100,83.3,4.6
Jan 2010-Dec 2010,00AL,Greenwich,M,68900,83200,82.8,4.3
Jan 2011-Dec 2011,00AL,Greenwich,M,72700,85700,84.8,3.9
Jan 2012-Dec 2012,00AL,Greenwich,M,73900,87700,84.3,4.4
Jan 2013-Dec 2013,00AL,Greenwich,M,70400,88800,79.2,5.5
Jan 2014-Dec 2014,00AL,Greenwich,M,75000,90600,82.8,5
Jan 2015-Dec 2015,00AL,Greenwich,M,77700,92800,83.7,5
Jan 2016-Dec 2016,00AL,Greenwich,M,79100,92600,85.4,4.9
Jan 2017-Dec 2017,00AL,Greenwich,M,82000,95500,85.9,4.5
Jan 2018-Dec 2018,00AL,Greenwich,M,79300,97900,81,5.2
Jan 2019-Dec 2019,00AL,Greenwich,M,84300,98800,85.3,4.6
Jan 2005-Dec 2005,00AM,Hackney,M,50000,73400,68.1,5.4
Jan 2006-Dec 2006,00AM,Hackney,M,57900,75500,76.7,4.8
Jan 2007-Dec 2007,00AM,Hackney,M,61000,78300,78,4.8
Jan 2008-Dec 2008,00AM,Hackney,M,62800,81400,77.2,4.6
Jan 2009-Dec 2009,00AM,Hackney,M,68000,83600,81.3,4.3
Jan 2010-Dec 2010,00AM,Hackney,M,69500,85100,81.7,4.4
Jan 2011-Dec 2011,00AM,Hackney,M,67100,88200,76,5
Jan 2012-Dec 2012,00AM,Hackney,M,68400,89900,76.1,4.9
Jan 2013-Dec 2013,00AM,Hackney,M,72200,91500,78.9,4.9
Jan 2014-Dec 2014,00AM,Hackney,M,74000,93900,78.8,4.5
Jan 2015-Dec 2015,00AM,Hackney,M,74500,96200,77.5,5
Jan 2016-Dec 2016,00AM,Hackney,M,76300,98200,77.6,5
Jan 2017-Dec 2017,00AM,Hackney,M,82800,99900,82.8,4.8
Jan 2018-Dec 2018,00AM,Hackney,M,83100,100700,82.5,5
Jan 2019-Dec 2019,00AM,Hackney,M,81700,102300,79.8,5.6
Jan 2005-Dec 2005,00AN,Hammersmith and Fulham,M,49900,62200,80.2,4.4
Jan 2006-Dec 2006,00AN,Hammersmith and Fulham,M,50600,62700,80.7,4.5
Jan 2007-Dec 2007,00AN,Hammersmith and Fulham,M,53200,63500,83.8,4.6
Jan 2008-Dec 2008,00AN,Hammersmith and Fulham,M,52500,63400,82.8,4.7
Jan 2009-Dec 2009,00AN,Hammersmith and Fulham,M,51000,65100,78.3,5.1
Jan 2010-Dec 2010,00AN,Hammersmith and Fulham,M,52500,65500,80.2,4.8
Jan 2011-Dec 2011,00AN,Hammersmith and Fulham,M,52700,66300,79.5,4.5
Jan 2012-Dec 2012,00AN,Hammersmith and Fulham,M,55500,64200,86.4,4.2
Jan 2013-Dec 2013,00AN,Hammersmith and Fulham,M,52300,63500,82.4,4.5
Jan 2014-Dec 2014,00AN,Hammersmith and Fulham,M,55900,63000,88.7,3.9
Jan 2015-Dec 2015,00AN,Hammersmith and Fulham,M,53800,63300,85.1,4.7
Jan 2016-Dec 2016,00AN,Hammersmith and Fulham,M,55700,64700,86,4.7
Jan 2017-Dec 2017,00AN,Hammersmith and Fulham,M,54500,65300,83.5,5.4
Jan 2018-Dec 2018,00AN,Hammersmith and Fulham,M,55400,64400,86,5
Jan 2019-Dec 2019,00AN,Hammersmith and Fulham,M,56200,64400,87.3,5.3
Jan 2005-Dec 2005,00AP,Haringey,M,63100,79700,79.2,4.5
Jan 2006-Dec 2006,00AP,Haringey,M,65500,80900,81,4.6
Jan 2007-Dec 2007,00AP,Haringey,M,64100,82700,77.5,5.1
Jan 2008-Dec 2008,00AP,Haringey,M,66300,85100,78,4.9
Jan 2009-Dec 2009,00AP,Haringey,M,64900,87300,74.4,5.1
Jan 2010-Dec 2010,00AP,Haringey,M,66400,88300,75.3,5.2
Jan 2011-Dec 2011,00AP,Haringey,M,69100,89800,77,5.3
Jan 2012-Dec 2012,00AP,Haringey,M,76000,91500,83.1,4.9
Jan 2013-Dec 2013,00AP,Haringey,M,75200,93700,80.3,4.6
Jan 2014-Dec 2014,00AP,Haringey,M,78200,95200,82.2,4.6
Jan 2015-Dec 2015,00AP,Haringey,M,80500,97000,83,4.6
Jan 2016-Dec 2016,00AP,Haringey,M,81200,99300,81.8,4.6
Jan 2017-Dec 2017,00AP,Haringey,M,80200,101000,79.4,4.7
Jan 2018-Dec 2018,00AP,Haringey,M,83100,99600,83.5,4.7
Jan 2019-Dec 2019,00AP,Haringey,M,82600,100700,82,5.6
Jan 2005-Dec 2005,00AQ,Harrow,M,59400,72200,82.2,5
Jan 2006-Dec 2006,00AQ,Harrow,M,62200,73200,84.9,4.6
Jan 2007-Dec 2007,00AQ,Harrow,M,62500,74100,84.3,4.7
Jan 2008-Dec 2008,00AQ,Harrow,M,62700,75000,83.6,4.4
Jan 2009-Dec 2009,00AQ,Harrow,M,64300,76000,84.6,4.5
Jan 2010-Dec 2010,00AQ,Harrow,M,66000,77200,85.5,4.4
Jan 2011-Dec 2011,00AQ,Harrow,M,70100,78300,89.6,3.7
Jan 2012-Dec 2012,00AQ,Harrow,M,65600,78500,83.6,4.2
Jan 2013-Dec 2013,00AQ,Harrow,M,67000,78500,85.4,3.9
Jan 2014-Dec 2014,00AQ,Harrow,M,70300,79100,88.9,3.7
Jan 2015-Dec 2015,00AQ,Harrow,M,69300,79700,87,3.9
Jan 2016-Dec 2016,00AQ,Harrow,M,69800,81000,86.2,4.4
Jan 2017-Dec 2017,00AQ,Harrow,M,72700,81600,89.1,4
Jan 2018-Dec 2018,00AQ,Harrow,M,69600,79900,87.1,4.1
Jan 2019-Dec 2019,00AQ,Harrow,M,65000,80000,81.4,6.1
Jan 2005-Dec 2005,00AR,Havering,M,59600,69800,85.3,4.5
Jan 2006-Dec 2006,00AR,Havering,M,59300,70600,83.9,4.7
Jan 2007-Dec 2007,00AR,Havering,M,61900,71400,86.7,3.9
Jan 2008-Dec 2008,00AR,Havering,M,64300,72200,89.2,3.6
Jan 2009-Dec 2009,00AR,Havering,M,62700,72800,86.1,4.2
Jan 2010-Dec 2010,00AR,Havering,M,59600,73500,81.1,4.9
Jan 2011-Dec 2011,00AR,Havering,M,61700,73800,83.5,4.8
Jan 2012-Dec 2012,00AR,Havering,M,62500,73600,85,4.7
Jan 2013-Dec 2013,00AR,Havering,M,62800,73600,85.2,4.7
Jan 2014-Dec 2014,00AR,Havering,M,68100,74500,91.4,3.5
Jan 2015-Dec 2015,00AR,Havering,M,64500,75300,85.6,4.6
Jan 2016-Dec 2016,00AR,Havering,M,67900,76000,89.3,4.5
Jan 2017-Dec 2017,00AR,Havering,M,63500,76600,83,4.8
Jan 2018-Dec 2018,00AR,Havering,M,68900,78100,88.2,4
Jan 2019-Dec 2019,00AR,Havering,M,64700,78400,82.6,4.9
Jan 2005-Dec 2005,00AS,Hillingdon,M,68300,80800,84.5,4.3
Jan 2006-Dec 2006,00AS,Hillingdon,M,69300,82400,84,4.4
Jan 2007-Dec 2007,00AS,Hillingdon,M,65900,83600,78.9,5.1
Jan 2008-Dec 2008,00AS,Hillingdon,M,73900,85100,86.9,3.9
Jan 2009-Dec 2009,00AS,Hillingdon,M,70900,86500,81.9,4.8
Jan 2010-Dec 2010,00AS,Hillingdon,M,70800,87900,80.6,5
Jan 2011-Dec 2011,00AS,Hillingdon,M,76300,90400,84.4,4.2
Jan 2012-Dec 2012,00AS,Hillingdon,M,78500,92200,85.1,4.5
Jan 2013-Dec 2013,00AS,Hillingdon,M,80500,93700,86,4.3
Jan 2014-Dec 2014,00AS,Hillingdon,M,82000,95700,85.7,4.1
Jan 2015-Dec 2015,00AS,Hillingdon,M,84500,97500,86.7,4.1
Jan 2016-Dec 2016,00AS,Hillingdon,M,86200,99700,86.5,4.5
Jan 2017-Dec 2017,00AS,Hillingdon,M,86500,101200,85.4,4.4
Jan 2018-Dec 2018,00AS,Hillingdon,M,85000,100100,84.9,4.6
Jan 2019-Dec 2019,00AS,Hillingdon,M,85500,101300,84.4,5.3
Jan 2005-Dec 2005,00AT,Hounslow,M,64800,77100,84,4.2
Jan 2006-Dec 2006,00AT,Hounslow,M,69300,78500,88.3,3.6
Jan 2007-Dec 2007,00AT,Hounslow,M,66100,81000,81.5,4.7
Jan 2008-Dec 2008,00AT,Hounslow,M,71700,82500,87,4.3
Jan 2009-Dec 2009,00AT,Hounslow,M,69000,84500,81.7,4.7
Jan 2010-Dec 2010,00AT,Hounslow,M,73700,87200,84.5,4.3
Jan 2011-Dec 2011,00AT,Hounslow,M,74200,89100,83.3,4.1
Jan 2012-Dec 2012,00AT,Hounslow,M,77700,90300,86,4.2
Jan 2013-Dec 2013,00AT,Hounslow,M,81200,91200,89,3.7
Jan 2014-Dec 2014,00AT,Hounslow,M,82600,92100,89.6,3.8
Jan 2015-Dec 2015,00AT,Hounslow,M,81600,92800,88,4.1
Jan 2016-Dec 2016,00AT,Hounslow,M,84700,95800,88.4,4.7
Jan 2017-Dec 2017,00AT,Hounslow,M,87300,97200,89.8,4.4
Jan 2018-Dec 2018,00AT,Hounslow,M,86000,92900,92.5,4.5
Jan 2019-Dec 2019,00AT,Hounslow,M,79400,93300,85.1,6.2
Jan 2005-Dec 2005,00AU,Islington,M,46600,65100,71.5,5.2
Jan 2006-Dec 2006,00AU,Islington,M,52700,65600,80.3,4.5
Jan 2007-Dec 2007,00AU,Islington,M,52800,67400,78.4,4.6
Jan 2008-Dec 2008,00AU,Islington,M,53500,69100,77.4,4.6
Jan 2009-Dec 2009,00AU,Islington,M,57800,71200,81.2,4.4
Jan 2010-Dec 2010,00AU,Islington,M,55900,73100,76.5,4.7
Jan 2011-Dec 2011,00AU,Islington,M,61900,75900,81.5,4.4
Jan 2012-Dec 2012,00AU,Islington,M,57200,77800,73.4,5.5
Jan 2013-Dec 2013,00AU,Islington,M,64500,79800,80.9,4.8
Jan 2014-Dec 2014,00AU,Islington,M,65900,82200,80.2,5
Jan 2015-Dec 2015,00AU,Islington,M,70100,85200,82.3,4.8
Jan 2016-Dec 2016,00AU,Islington,M,69200,87800,78.8,5.5
Jan 2017-Dec 2017,00AU,Islington,M,78200,89800,87.1,4.3
Jan 2018-Dec 2018,00AU,Islington,M,74000,90300,82,5.3
Jan 2019-Dec 2019,00AU,Islington,M,75900,90200,84.2,5.2
Jan 2005-Dec 2005,00AW,Kensington and Chelsea,M,49800,60300,82.7,4.4
Jan 2006-Dec 2006,00AW,Kensington and Chelsea,M,46800,58900,79.5,4.9
Jan 2007-Dec 2007,00AW,Kensington and Chelsea,M,45600,58100,78.5,5.3
Jan 2008-Dec 2008,00AW,Kensington and Chelsea,M,44900,58500,76.7,5.4
Jan 2009-Dec 2009,00AW,Kensington and Chelsea,M,44400,58000,76.6,5.6
Jan 2010-Dec 2010,00AW,Kensington and Chelsea,M,43900,57100,76.9,5.2
Jan 2011-Dec 2011,00AW,Kensington and Chelsea,M,45500,56300,80.9,4.6
Jan 2012-Dec 2012,00AW,Kensington and Chelsea,M,44200,54200,81.5,4.5
Jan 2013-Dec 2013,00AW,Kensington and Chelsea,M,43800,53800,81.3,4.5
Jan 2014-Dec 2014,00AW,Kensington and Chelsea,M,43900,53700,81.8,4.3
Jan 2015-Dec 2015,00AW,Kensington and Chelsea,M,43000,54300,79.2,4.6
Jan 2016-Dec 2016,00AW,Kensington and Chelsea,M,43200,54300,79.7,5.2
Jan 2017-Dec 2017,00AW,Kensington and Chelsea,M,42500,53900,78.9,5.9
Jan 2018-Dec 2018,00AW,Kensington and Chelsea,M,36700,53500,68.6,6.5
Jan 2019-Dec 2019,00AW,Kensington and Chelsea,M,38900,53300,73,6.8
Jan 2005-Dec 2005,00AX,Kingston upon Thames,M,41800,52700,79.4,4.9
Jan 2006-Dec 2006,00AX,Kingston upon Thames,M,44400,53100,83.6,4.4
Jan 2007-Dec 2007,00AX,Kingston upon Thames,M,43900,52900,83,4.8
Jan 2008-Dec 2008,00AX,Kingston upon Thames,M,44200,53200,83.1,4.8
Jan 2009-Dec 2009,00AX,Kingston upon Thames,M,44300,53400,83,4.7
Jan 2010-Dec 2010,00AX,Kingston upon Thames,M,44100,53400,82.5,5
Jan 2011-Dec 2011,00AX,Kingston upon Thames,M,42300,53800,78.7,5.1
Jan 2012-Dec 2012,00AX,Kingston upon Thames,M,43800,54700,80.1,4.9
Jan 2013-Dec 2013,00AX,Kingston upon Thames,M,44500,55500,80.2,4.9
Jan 2014-Dec 2014,00AX,Kingston upon Thames,M,48300,56400,85.7,4.5
Jan 2015-Dec 2015,00AX,Kingston upon Thames,M,48600,57700,84.2,4.7
Jan 2016-Dec 2016,00AX,Kingston upon Thames,M,49000,58600,83.6,5.1
Jan 2017-Dec 2017,00AX,Kingston upon Thames,M,49900,59500,83.8,5.1
Jan 2018-Dec 2018,00AX,Kingston upon Thames,M,51800,59600,87,4.8
Jan 2019-Dec 2019,00AX,Kingston upon Thames,M,50800,59100,85.9,5
Jan 2005-Dec 2005,00AY,Lambeth,M,79500,102000,77.9,5
Jan 2006-Dec 2006,00AY,Lambeth,M,84100,103300,81.4,4.7
Jan 2007-Dec 2007,00AY,Lambeth,M,87400,106100,82.4,4.3
Jan 2008-Dec 2008,00AY,Lambeth,M,85800,107200,80,4.6
Jan 2009-Dec 2009,00AY,Lambeth,M,93200,108800,85.7,4.3
Jan 2010-Dec 2010,00AY,Lambeth,M,95100,109700,86.6,4.2
Jan 2011-Dec 2011,00AY,Lambeth,M,97600,112600,86.7,4.1
Jan 2012-Dec 2012,00AY,Lambeth,M,100800,115000,87.6,4.3
Jan 2013-Dec 2013,00AY,Lambeth,M,102200,116600,87.7,4.3
Jan 2014-Dec 2014,00AY,Lambeth,M,107600,118700,90.7,3.9
Jan 2015-Dec 2015,00AY,Lambeth,M,107500,121300,88.7,4.3
Jan 2016-Dec 2016,00AY,Lambeth,M,104700,123800,84.6,5.6
Jan 2017-Dec 2017,00AY,Lambeth,M,108900,125500,86.8,5.2
Jan 2018-Dec 2018,00AY,Lambeth,M,104900,123300,85,4.8
Jan 2019-Dec 2019,00AY,Lambeth,M,107100,123600,86.7,4.5
Jan 2005-Dec 2005,00AZ,Lewisham,M,74500,87100,85.6,4.2
Jan 2006-Dec 2006,00AZ,Lewisham,M,71800,87300,82.2,4.6
Jan 2007-Dec 2007,00AZ,Lewisham,M,71400,89500,79.8,4.6
Jan 2008-Dec 2008,00AZ,Lewisham,M,76000,91400,83.1,4.3
Jan 2009-Dec 2009,00AZ,Lewisham,M,77800,92500,84.1,4.7
Jan 2010-Dec 2010,00AZ,Lewisham,M,75500,93000,81.2,5.4
Jan 2011-Dec 2011,00AZ,Lewisham,M,76400,94700,80.7,5.1
Jan 2012-Dec 2012,00AZ,Lewisham,M,79000,96200,82.1,4.9
Jan 2013-Dec 2013,00AZ,Lewisham,M,84900,97400,87.2,4
Jan 2014-Dec 2014,00AZ,Lewisham,M,84100,100100,84.1,4.4
Jan 2015-Dec 2015,00AZ,Lewisham,M,86100,102300,84.2,4.8
Jan 2016-Dec 2016,00AZ,Lewisham,M,91800,105800,86.8,4.5
Jan 2017-Dec 2017,00AZ,Lewisham,M,95900,106200,90.3,4
Jan 2018-Dec 2018,00AZ,Lewisham,M,96300,105200,91.5,3.8
Jan 2019-Dec 2019,00AZ,Lewisham,M,93400,107100,87.2,4.5
Jan 2005-Dec 2005,00BA,Merton,M,54400,65100,83.5,4.8
Jan 2006-Dec 2006,00BA,Merton,M,56400,65900,85.6,4.1
Jan 2007-Dec 2007,00BA,Merton,M,59200,66500,89,3.8
Jan 2008-Dec 2008,00BA,Merton,M,61900,67200,92.1,3.6
Jan 2009-Dec 2009,00BA,Merton,M,59000,67900,86.8,4.1
Jan 2010-Dec 2010,00BA,Merton,M,59100,67800,87.2,3.7
Jan 2011-Dec 2011,00BA,Merton,M,58500,68300,85.6,4.1
Jan 2012-Dec 2012,00BA,Merton,M,59100,68200,86.7,3.9
Jan 2013-Dec 2013,00BA,Merton,M,60100,67900,88.5,4
Jan 2014-Dec 2014,00BA,Merton,M,59000,67500,87.3,4.3
Jan 2015-Dec 2015,00BA,Merton,M,60300,67500,89.2,3.9
Jan 2016-Dec 2016,00BA,Merton,M,61000,69000,88.4,4.4
Jan 2017-Dec 2017,00BA,Merton,M,58600,69600,84.2,5.4
Jan 2018-Dec 2018,00BA,Merton,M,61900,68600,90.2,4.3
Jan 2019-Dec 2019,00BA,Merton,M,61800,68700,90,3.9
Jan 2005-Dec 2005,00BB,Newham,M,64200,87600,73.2,4.9
Jan 2006-Dec 2006,00BB,Newham,M,70400,90200,78,4.5
Jan 2007-Dec 2007,00BB,Newham,M,71300,94000,75.8,4.8
Jan 2008-Dec 2008,00BB,Newham,M,78100,98400,79.4,4.6
Jan 2009-Dec 2009,00BB,Newham,M,76100,103100,73.8,4.9
Jan 2010-Dec 2010,00BB,Newham,M,84000,110300,76.1,4.6
Jan 2011-Dec 2011,00BB,Newham,M,88700,116800,75.9,4.4
Jan 2012-Dec 2012,00BB,Newham,M,98000,117300,83.6,4.1
Jan 2013-Dec 2013,00BB,Newham,M,95400,118000,80.8,4.3
Jan 2014-Dec 2014,00BB,Newham,M,93200,121100,77,4.7
Jan 2015-Dec 2015,00BB,Newham,M,101300,124500,81.4,4.2
Jan 2016-Dec 2016,00BB,Newham,M,109300,127700,85.6,4.1
Jan 2017-Dec 2017,00BB,Newham,M,110400,130100,84.9,4.6
Jan 2018-Dec 2018,00BB,Newham,M,110600,134800,82.1,5.5
Jan 2019-Dec 2019,00BB,Newham,M,109800,136400,80.5,5.7
Jan 2005-Dec 2005,00BC,Redbridge,M,64300,81600,78.8,5
Jan 2006-Dec 2006,00BC,Redbridge,M,68300,82900,82.4,4.8
Jan 2007-Dec 2007,00BC,Redbridge,M,68500,84500,81,5
Jan 2008-Dec 2008,00BC,Redbridge,M,70200,86500,81.1,4.7
Jan 2009-Dec 2009,00BC,Redbridge,M,72100,88100,81.8,4.8
Jan 2010-Dec 2010,00BC,Redbridge,M,72800,89400,81.5,4.4
Jan 2011-Dec 2011,00BC,Redbridge,M,75800,91800,82.5,4.2
Jan 2012-Dec 2012,00BC,Redbridge,M,72900,92100,79.2,4.6
Jan 2013-Dec 2013,00BC,Redbridge,M,78000,92800,84,4.2
Jan 2014-Dec 2014,00BC,Redbridge,M,78500,94600,83,4.3
Jan 2015-Dec 2015,00BC,Redbridge,M,80300,95900,83.7,4.3
Jan 2016-Dec 2016,00BC,Redbridge,M,86400,97700,88.5,3.7
Jan 2017-Dec 2017,00BC,Redbridge,M,85200,99000,86,3.9
Jan 2018-Dec 2018,00BC,Redbridge,M,84500,100500,84,4.2
Jan 2019-Dec 2019,00BC,Redbridge,M,88400,102900,85.8,4.6
