station,line,local_authority,zone,opened
Hounslow Central,Piccadilly[l],Hounslow,4,1886-04-01
Hounslow East,Piccadilly[l],Hounslow,4,1909-05-02
Hounslow West,Piccadilly[l],Hounslow,5,1884-07-21
Hyde Park Corner,Piccadilly,City of Westminster,1,1906-12-15
Ickenham,Metropolitan,Hillingdon,6,1905-09-25
Kennington,Northern,Southwark,2,1890-12-18
Kensal Green,Bakerloo,Brent,2,1916-10-01
Kensington (Olympia),District,Kensington and Chelsea,2,1864-07-01
Kentish Town,Northern,Camden,2,1907-06-22
Kenton,Bakerloo,Brent,4,1917-04-16
Kew Gardens,District,Richmond,3 & 4,1877-06-01
Kilburn,Jubilee[e],Brent,2,1879-11-24
Kilburn Park,Bakerloo,Brent,2,1915-01-31
King's Cross St. Pancras,Metropolitan[b],Camden,1,1863-01-10
Kingsbury,Jubilee[e],Brent,4,1932-12-10
Knightsbridge,Piccadilly,Kensington and Chelsea,1,1906-12-15
Ladbroke Grove,Hammersmith & City[m],Kensington and Chelsea,2,1864-06-13
Lambeth North,Bakerloo,Lambeth,1,1906-03-10
Lancaster Gate,Central,City of Westminster,1,1900-07-30
Latimer Road,Hammersmith & City[m],Kensington and Chelsea,2,1868-12-16
Leicester Square,Piccadilly,City of Westminster,1,1906-12-15
Leyton,Central,Waltham Forest,3,1947-05-05
Leytonstone,Central,Waltham Forest,3 & 4,1947-05-05
Liverpool Street,Metropolitan[b],City of London,1,1875-02-01
London Bridge,Northern,Southwark,1,1900-02-25
Loughton,Central,Epping Forest,6,1948-11-21
Maida Vale,Bakerloo,City of Westminster,2,1915-06-06
Manor House,Piccadilly,Hackney,2 & 3,1932-09-19
Mansion House,District[i],City of London,1,1871-07-03
Marble Arch,Central,City of Westminster,1,1900-07-30
Marylebone,Bakerloo,City of Westminster,1,1907-03-27
Mile End,District[j],Tower Hamlets,2,1902-06-02
Mill Hill East,Northern,Barnet,4,1941-05-18
Monument,District[i],City of London,1,1884-10-06
Moor Park,Metropolitan,Three Rivers,6 & 7,1910-05-09
Moorgate,Metropolitan[b],City of London,1,1865-12-23
Morden,Northern,Merton,4,1926-09-13
Mornington Crescent,Northern,Camden,2,1907-06-22
Neasden,Jubilee[e],Brent,3,1880-08-02
Newbury Park,Central,Redbridge,4,1947-12-14
North Acton,Central,Ealing,2 & 3,1923-11-05
North Ealing,Piccadilly[h],Ealing,3,1903-06-23
North Greenwich,Jubilee,Greenwich,2 & 3,1999-05-14
North Harrow,Metropolitan,Harrow,5,1915-03-22
North Wembley,Bakerloo,Brent,4,1917-04-16
Northfields,Piccadilly[l],Ealing,3,1908-04-16
Northolt,Central,Ealing,5,1948-11-21
Northwick Park,Metropolitan,Brent,4,1923-06-28
Northwood,Metropolitan,Hillingdon,6,1887-09-01
Northwood Hills,Metropolitan,Hillingdon,6,1933-11-13
Notting Hill Gate,District[c],Kensington and Chelsea,1 & 2,1868-10-01
Oakwood,Piccadilly,Enfield,5,1933-03-13
Old Street,Northern,Islington,1,1901-11-17
Osterley,Piccadilly[l],Hounslow,4,1883-05-01
Oval,Northern,Lambeth,2,1890-12-18
Oxford Circus,Central,City of Westminster,1,1900-07-30
Paddington,Hammersmith & City[d],City of Westminster,1,1863-01-10
Park Royal,Piccadilly,Ealing,3,1903-06-23
Parsons Green,District,Hammersmith and Fulham,2,1880-03-01
Perivale,Central,Ealing,4,1947-06-30
Piccadilly Circus,Bakerloo,City of Westminster,1,1906-03-10
Pimlico,Victoria,City of Westminster,1,1972-09-14
Pinner,Metropolitan,Harrow,5,1885-05-25
Plaistow,District[j],Newham,3,1902-06-02
Preston Road,Metropolitan,Brent,4,1908-05-21
Putney Bridge,District,Hammersmith and Fulham,2,1880-03-01
Queen's Park,Bakerloo,Brent,2,1915-02-11
Queensbury,Jubilee[e],Brent,4,1934-12-16
Queensway,Central,City of Westminster,1,1900-07-30
Ravenscourt Park,District,Hammersmith and Fulham,2,1877-06-01
Rayners Lane,Metropolitan,Harrow,5,1906-05-26
Redbridge,Central,Redbridge,4,1947-12-14
Regent's Park,Bakerloo,City of Westminster,1,1906-03-10
Richmond,District,Richmond,4,1877-06-01
Rickmansworth,Metropolitan,Three Rivers,7,1887-09-01
Roding Valley,Central,Epping Forest,4,1948-11-21
Royal Oak,Hammersmith & City[m],City of Westminster,2,1871-10-30
Ruislip,Metropolitan,Hillingdon,6,1904-07-04
Ruislip Gardens,Central,Hillingdon,5,1948-11-29
Ruislip Manor,Metropolitan,Hillingdon,6,1912-08-05
Russell Square,Piccadilly,Camden,1,1906-12-15
Seven Sisters,Victoria,Haringey,3,1968-09-01
Shepherd's Bush,Central,Hammersmith and Fulham,2,1900-07-30
Shepherd's Bush Market,Hammersmith & City[m],Hammersmith and Fulham,2,1864-06-13
Sloane Square,District[i],Kensington and Chelsea,1,1868-12-24
Snaresbrook,Central,Redbridge,4,1947-12-14
South Ealing,Piccadilly[l],Ealing,3,1883-05-01
South Harrow,Piccadilly[h],Harrow,5,1903-06-28
South Kensington,District[i],Kensington and Chelsea,1,1868-12-24
South Kenton,Bakerloo,Brent,4,1933-07-03
South Ruislip,Central,Hillingdon,5,1948-11-23
South Wimbledon,Northern,Merton,3 & 4,1926-09-13
South Woodford,Central,Redbridge,4,1947-12-14
Southfields,District,Wandsworth,3,1889-06-03
Southgate,Piccadilly,Enfield,4,1933-03-13
Southwark,Jubilee,Southwark,1,1999-09-24
St. James's Park,District[i],City of Westminster,1,1868-12-24
St. John's Wood,Jubilee[g],City of Westminster,2,1939-11-20
St. Paul's,Central,City of London,1,1900-07-30
Stamford Brook,District,Hammersmith and Fulham,2,1912-02-01
Stanmore,Jubilee[e],Harrow,5,1932-12-10
Stepney Green,District[j],Tower Hamlets,2,1902-06-23
Stockwell,Northern,Lambeth,2,1890-12-18
Stonebridge Park,Bakerloo,Brent,3,1917-04-16
Stratford,Central,Newham,3,1946-12-04
Sudbury Hill,Piccadilly[h],Ealing,4,1903-06-28
Sudbury Town,Piccadilly[h],Brent,4,1903-06-28
Swiss Cottage,Jubilee[g],Camden,2,1939-11-20
Temple,District[i],City of Westminster,1,1870-05-30
Theydon Bois,Central,Epping Forest,6,1949-09-25
Tooting Bec,Northern,Wandsworth,3,1926-09-13
Tooting Broadway,Northern,Wandsworth,3,1926-09-13
Tottenham Court Road,Central,City of Westminster,1,1900-07-30
Tottenham Hale,Victoria,Haringey,3,1968-09-01
Totteridge & Whetstone,Northern,Barnet,4,1940-04-14
Tower Hill,District[i],Tower Hamlets,1,1882-09-25
Tufnell Park,Northern,Islington,2,1907-06-22
Turnham Green,District,Hounslow,2 & 3,1877-06-01
Turnpike Lane,Piccadilly,Haringey,3,1932-09-19
Upminster,District,Havering,6,1902-06-02
Upminster Bridge,District,Havering,6,1934-12-17
Upney,District,Barking and Dagenham,4,1932-09-12
Upton Park,District[j],Newham,3,1902-06-02
Uxbridge,Metropolitan,Hillingdon,6,1904-07-04
Vauxhall,Victoria,Lambeth,1 & 2,1971-07-23
Victoria,District[i],City of Westminster,1,1868-12-24
Walthamstow Central,Victoria,Waltham Forest,3,1968-09-01
Wanstead,Central,Redbridge,4,1947-12-14
Warren Street,Northern,Camden,1,1907-06-22
Warwick Avenue,Bakerloo,City of Westminster,2,1915-01-31
Waterloo,Waterloo & City,Lambeth,1,1906-03-10
Watford,Metropolitan,Watford,7,1925-11-02
Wembley Central,Bakerloo,Brent,4,1917-04-16
Wembley Park,Metropolitan,Brent,4,1894-05-12
West Acton,Central,Ealing,3,1923-11-05
West Brompton,District,Kensington and Chelsea,2,1869-04-12
West Finchley,Northern,Barnet,4,1940-04-14
West Ham,District[j],Newham,3,1902-06-02
West Hampstead,Jubilee[e],Camden,2,1879-06-30
West Harrow,Metropolitan,Harrow,5,1913-11-17
West Kensington,District,Hammersmith and Fulham,2,1874-09-09
West Ruislip,Central,Hillingdon,6,1948-11-21
Westbourne Park,Hammersmith & City[m],City of Westminster,2,1866-02-01
Westminster,District[i],City of Westminster,1,1868-12-24
White City,Central,Hammersmith and Fulham,2,1947-11-23
Whitechapel,District[j],Tower Hamlets,2,1884-10-01
Willesden Green,Jubilee[e],Brent,2 & 3,1879-11-24
Willesden Junction,Bakerloo,Brent,2 & 3,1915-05-10
Wimbledon,District,Merton,3,1889-06-03
Wimbledon Park,District,Merton,3,1889-06-03
Wood Green,Piccadilly,Haringey,3,1932-09-19
Wood Lane,Hammersmith & City,Hammersmith and Fulham,2,2008-10-12
Woodford,Central,Redbridge,4,1947-12-14
Woodside Park,Northern,Barnet,4,1940-04-12
