date,time,gender,session,medal_ceremony,code,AA,A,B,C,D,E,limit,venue,event
06-Aug,10:00–12:20,W,1500m: round 1,,AT006,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
06-Aug,10:00–12:20,W,Shot Put: qualifying,,AT006,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,M,100m: victory ceremony,Y,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,M,400m: final,,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,M,400m Hurdles: final; victory ceremony,Y,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,M,3000m Steeplechase: victory ceremony,Y,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,M,Hammer: victory ceremony,Y,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,W,200m: round 1,,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,W,400m Hurdles: semi-finals,,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,W,3000m Steeplechase: final,,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,W,Pole Vault: final,,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
06-Aug,18:50–21:40,W,Shot Put: final; victory ceremony,Y,AT007,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,10:00–12:35,M,110m Hurdles: round 1,,AT008,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
07-Aug,10:00–12:35,M,200m: round 1,,AT008,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
07-Aug,10:00–12:35,M,Triple Jump: qualifying,,AT008,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
07-Aug,10:00–12:35,W,5000m: round 1,,AT008,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
07-Aug,10:00–12:35,W,Javelin: qualifying,,AT008,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,M,400m: victory ceremony,Y,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,M,800m: semi-finals,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,M,1500m: final,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,M,High Jump: final,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,M,Discus: final,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,W,100m Hurdles: semi-finals; final,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,W,200m: semi-finals,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,W,3000m Steeplechase: victory ceremony,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,W,Long Jump: qualifying,,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
07-Aug,18:50–21:20,W,Pole Vault: victory ceremony,Y,AT009,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,10:00–13:40,M,5000m: round 1,,AT010,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
08-Aug,10:00–13:40,M,Pole Vault: qualifying,,AT010,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
08-Aug,10:00–13:40,M,Decathlon: 100m; long jump; shot put,,AT010,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
08-Aug,10:00–13:40,W,800m: round 1,,AT010,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
08-Aug,10:00–13:40,W,Hammer: qualifying,,AT010,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,110m Hurdles: semi-finals; final,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,200m: semi-finals,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,1500m: victory ceremony,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,High Jump: victory ceremony,Y,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,Discus: victory ceremony,Y,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,Javelin: qualifying,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,M,Decathlon: high jump; 400m,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,W,100m Hurdles: victory ceremony,Y,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,W,200m: final,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,W,400m Hurdles: final; victory ceremony,Y,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,W,1500m: semi-finals,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
08-Aug,18:00–21:55,W,Long Jump: final,,AT011,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,09:00–16:00,M,4 x 400m Relay: round 1,,AT012,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
09-Aug,09:00–16:00,M,Decathlon: 110m hurdles; discus; pole vault,,AT012,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
09-Aug,09:00–16:00,W,High Jump: qualifying,,AT012,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,M,110m Hurdles: victory ceremony,Y,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,M,200m: final; victory ceremony,Y,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,M,800m: final; victory ceremony,Y,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,M,Triple Jump: final; victory ceremony,Y,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,M,Decathlon: javelin; 1500m,,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,W,200m: victory ceremony,Y,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,W,800m: semi-finals,,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,W,4 x 100m Relay: round 1,,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,W,Long Jump: victory ceremony,Y,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
09-Aug,18:30–22:10,W,Javelin: final,,AT013,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
10-Aug,19:00–21:40,M,4 x 100m Relay: round 1,,AT014,725,420,295,125,50,–,4,Olympic Park - Olympic Stadium,Athletics
